time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2018-01-07 12:00:00,25.8,9.6,36.0,,,,0.0,,1010.6,,
2018-01-08 12:00:00,24.6,8.5,36.0,,,50.0,3.6,,1012.6,,
2018-01-09 03:00:00,18.0,13.5,75.0,,,50.0,3.6,,1019.2,,
2018-01-09 12:00:00,23.8,12.1,48.0,,,50.0,3.6,,1013.9,,
2018-01-10 03:00:00,17.6,12.1,70.0,,,90.0,3.6,,1020.4,,
2018-01-10 12:00:00,26.0,12.1,42.0,,,50.0,3.6,,1014.0,,
2018-01-11 12:00:00,28.0,14.6,44.0,,,50.0,3.6,,1012.7,,
2018-01-12 03:00:00,22.4,11.5,50.0,,,50.0,3.6,,1016.9,,
2018-01-12 12:00:00,27.8,10.5,34.0,,,50.0,3.6,,1012.5,,
2018-01-14 03:00:00,22.6,10.1,45.0,,,140.0,3.6,,1014.7,,
2018-01-14 12:00:00,28.2,11.3,35.0,,,90.0,3.6,,1010.1,,
2018-01-16 12:00:00,27.6,11.6,37.0,,,360.0,3.6,,1010.3,,
2018-01-17 03:00:00,22.2,14.8,63.0,,,230.0,3.6,,1015.9,,
2018-01-18 03:00:00,19.8,14.2,70.0,,,320.0,3.6,,1018.8,,
2018-01-18 12:00:00,26.2,12.3,42.0,,,50.0,3.6,,1010.6,,
2018-01-19 03:00:00,20.6,13.3,63.0,,,230.0,3.6,,1020.7,,
2018-01-19 12:00:00,26.0,11.4,40.0,,,50.0,3.6,,1012.7,,
2018-01-20 03:00:00,21.8,9.3,45.0,,,70.0,3.6,,1016.2,,
2018-01-21 03:00:00,21.8,14.4,63.0,,,360.0,3.6,,1018.3,,
2018-01-21 12:00:00,25.0,14.8,53.0,,,50.0,3.6,,1011.1,,
2018-01-22 03:00:00,20.0,15.8,77.0,,,140.0,3.6,,1016.7,,
2018-01-22 12:00:00,26.0,16.8,57.0,,,70.0,3.6,,1008.7,,
2018-01-25 03:00:00,19.8,8.5,48.0,,,320.0,3.6,,1014.5,,
2018-01-25 12:00:00,26.2,12.6,43.0,,,360.0,3.6,,1008.6,,
2018-01-26 03:00:00,20.4,9.6,50.0,,,70.0,3.6,,1013.9,,
2018-01-28 03:00:00,18.6,13.9,74.0,,,50.0,3.6,,1014.8,,
2018-01-29 03:00:00,21.6,16.1,71.0,,,140.0,3.6,,1015.2,,
2018-01-29 12:00:00,26.8,15.8,51.0,,,50.0,3.6,,1011.6,,
2018-01-30 03:00:00,22.2,10.4,47.0,,,50.0,3.6,,1014.7,,
2018-01-30 12:00:00,27.0,14.4,46.0,,,50.0,3.6,,1012.7,,
2018-01-31 03:00:00,23.0,16.8,68.0,,,50.0,3.6,,1016.7,,
2018-01-31 12:00:00,27.6,14.9,46.0,,,140.0,3.6,,1012.6,,
2018-02-01 03:00:00,23.6,9.2,40.0,,,320.0,3.6,,1016.6,,
2018-02-02 03:00:00,18.2,11.5,65.0,,,50.0,3.6,,1016.0,,
2018-02-03 03:00:00,21.2,9.1,46.0,,,230.0,3.6,,1016.0,,
2018-02-03 12:00:00,29.0,16.2,46.0,,,50.0,3.6,,1011.3,,
2018-02-04 12:00:00,28.2,13.7,41.0,,,90.0,3.6,,1010.9,,
2018-02-05 12:00:00,27.8,15.8,48.0,,,140.0,3.6,,1012.5,,
2018-02-06 03:00:00,24.2,11.2,44.0,,,140.0,3.6,,1017.3,,
2018-02-06 12:00:00,27.8,17.9,55.0,,,140.0,3.6,,1011.5,,
2018-02-07 03:00:00,20.8,14.9,69.0,,,320.0,3.6,,1016.2,,
2018-02-07 12:00:00,22.8,13.3,55.0,,,320.0,3.6,,1014.7,,
2018-02-09 12:00:00,27.2,8.1,30.0,,,360.0,3.6,,1010.0,,
2018-02-10 03:00:00,21.4,12.3,56.0,,,90.0,3.6,,1016.2,,
2018-02-10 12:00:00,26.0,16.8,57.0,,,140.0,3.6,,1011.6,,
2018-02-11 03:00:00,20.0,12.5,62.0,,,180.0,3.6,,1016.5,,
2018-02-12 03:00:00,21.8,16.3,71.0,,,140.0,3.6,,1018.3,,
2018-02-12 12:00:00,28.0,13.9,42.0,,,180.0,3.6,,1012.5,,
2018-02-13 03:00:00,20.8,13.7,64.0,,,140.0,3.6,,1019.6,,
2018-02-13 12:00:00,26.2,14.6,49.0,,,180.0,3.6,,1013.5,,
2018-02-14 03:00:00,20.0,15.4,75.0,,,180.0,3.6,,,,
2018-02-14 12:00:00,27.2,12.4,40.0,,,180.0,3.6,,1016.8,,
2018-02-15 03:00:00,21.4,14.8,66.0,,,90.0,3.6,,1021.3,,
2018-02-15 12:00:00,26.8,12.1,40.0,,,50.0,3.6,,1016.5,,
2018-02-16 03:00:00,23.4,11.4,47.0,,,140.0,3.6,,1019.8,,
2018-02-16 12:00:00,28.2,8.5,29.0,,,50.0,3.6,,1014.2,,
2018-02-17 03:00:00,25.8,8.8,34.0,,,140.0,3.6,,1015.9,,
2018-02-19 03:00:00,25.2,14.3,51.0,,,140.0,3.6,,1014.0,,
2018-02-19 12:00:00,29.8,11.8,33.0,,,360.0,3.6,,1013.7,,
2018-02-20 03:00:00,,,,,,230.0,3.6,,1014.7,,
2018-02-20 12:00:00,30.0,12.0,33.0,,,110.0,3.6,,1009.2,,
2018-02-21 03:00:00,23.6,14.6,57.0,,,230.0,3.6,,1013.5,,
2018-02-22 03:00:00,24.0,12.3,48.0,,,180.0,3.6,,1013.5,,
2018-02-23 03:00:00,24.0,13.2,51.0,,,230.0,3.6,,1014.3,,
2018-02-24 03:00:00,23.8,4.2,28.0,,,140.0,3.6,,1015.6,,
2018-02-26 03:00:00,23.8,4.2,28.0,,,140.0,3.6,,1015.6,,
2018-02-26 12:00:00,31.2,15.2,38.0,,,50.0,3.6,,1015.2,,
2018-02-28 03:00:00,25.6,11.7,42.0,,,230.0,3.6,,1014.2,,
2018-02-28 12:00:00,31.6,3.6,17.0,,,90.0,3.6,,1008.6,,
2018-03-01 12:00:00,31.6,7.9,23.0,,,50.0,3.6,,1009.4,,
2018-03-02 03:00:00,25.0,9.3,37.0,,,50.0,3.6,,1015.4,,
2018-03-02 12:00:00,32.2,7.8,22.0,,,70.0,7.6,,1007.5,,
2018-03-03 03:00:00,26.6,7.6,30.0,,,230.0,3.6,,1011.6,,
2018-03-03 12:00:00,32.8,11.9,28.0,,,230.0,3.6,,1006.2,,
2018-03-04 03:00:00,24.4,6.6,32.0,,,230.0,3.6,,1010.1,,
2018-03-05 03:00:00,25.6,7.7,32.0,,,200.0,3.6,,1012.8,,
2018-03-06 03:00:00,26.6,8.6,32.0,,,230.0,3.6,,1012.7,,
2018-03-06 12:00:00,33.2,7.2,20.0,,,90.0,3.6,,1006.9,,
2018-03-07 03:00:00,26.4,9.3,34.0,,,180.0,3.6,,1013.7,,
2018-03-08 12:00:00,32.2,10.3,26.0,,,,0.0,,1007.2,,
2018-03-10 03:00:00,24.2,16.2,61.0,,,230.0,3.6,,1013.6,,
2018-03-12 03:00:00,25.0,13.5,49.0,,,230.0,3.6,,1017.8,,
2018-03-13 03:00:00,24.8,14.9,54.0,,,180.0,3.6,,1014.4,,
2018-03-13 12:00:00,33.0,9.1,23.0,,,140.0,3.6,,1008.0,,
2018-03-14 03:00:00,29.0,12.8,37.0,,,230.0,3.6,,1012.4,,
2018-03-15 12:00:00,29.6,12.1,34.0,,,290.0,3.6,,1007.7,,
2018-03-16 03:00:00,24.2,11.9,46.0,,,50.0,3.6,,1010.9,,
2018-03-16 12:00:00,22.4,15.3,64.0,,,360.0,3.6,,1011.6,,
2018-03-17 03:00:00,21.2,19.3,89.0,,,90.0,3.6,,1014.8,,
2018-03-17 12:00:00,28.4,16.3,48.0,,,50.0,3.6,,1008.7,,
2018-03-19 12:00:00,32.6,12.8,30.0,,,90.0,3.6,,1009.1,,
2018-03-20 03:00:00,26.2,14.0,47.0,,,230.0,3.6,,1013.5,,
2018-03-21 03:00:00,29.0,11.1,33.0,,,50.0,3.6,,1014.4,,
2018-03-23 03:00:00,27.8,9.1,31.0,,,340.0,3.6,,1011.3,,
2018-03-23 12:00:00,34.2,12.5,27.0,,,300.0,3.6,,1005.7,,
2018-03-24 03:00:00,29.0,11.1,33.0,,,320.0,3.6,,1011.1,,
2018-03-25 03:00:00,27.4,11.8,38.0,,,360.0,3.6,,1014.3,,
2018-03-26 03:00:00,28.0,21.1,66.0,,,320.0,3.6,,1015.4,,
2018-03-26 12:00:00,34.8,17.1,35.0,,,140.0,3.6,,1008.4,,
2018-03-27 03:00:00,29.0,12.0,35.0,,,230.0,3.6,,1013.0,,
2018-03-27 12:00:00,36.2,8.1,18.0,,,200.0,3.6,,1006.0,,
2018-03-28 03:00:00,31.0,21.8,58.0,,,270.0,3.6,,1011.7,,
2018-03-28 12:00:00,35.6,6.8,17.0,,,360.0,3.6,,1006.0,,
2018-03-29 03:00:00,29.4,18.2,51.0,,,340.0,3.6,,1010.8,,
2018-03-30 03:00:00,30.2,16.6,44.0,,,270.0,3.6,,1010.4,,
2018-03-31 03:00:00,29.8,17.6,48.0,,,230.0,3.6,,1009.8,,
2018-04-01 12:00:00,34.4,16.3,34.0,,,50.0,3.6,,1003.2,,
2018-04-02 03:00:00,27.6,21.4,69.0,,,230.0,3.6,,1012.3,,
2018-04-04 03:00:00,28.6,19.5,58.0,,,200.0,3.6,,1009.6,,
2018-04-04 12:00:00,33.0,16.8,38.0,,,160.0,3.6,,1005.3,,
2018-04-05 12:00:00,33.2,17.0,38.0,,,140.0,3.6,,1002.4,,
2018-04-08 03:00:00,22.0,16.5,71.0,,,140.0,3.6,,1014.0,,
2018-04-08 12:00:00,30.8,17.8,46.0,,,90.0,3.6,,1007.4,,
2018-04-09 03:00:00,26.2,20.3,70.0,,,180.0,3.6,,1014.9,,
2018-04-10 03:00:00,25.6,20.6,74.0,,,230.0,3.6,,1012.2,,
2018-04-10 12:00:00,33.0,20.9,49.0,,,140.0,3.6,,1004.8,,
2018-04-11 03:00:00,25.6,20.4,73.0,,,230.0,3.6,,1013.2,,
2018-04-12 03:00:00,27.6,18.9,59.0,,,140.0,3.6,,1010.3,,
2018-04-12 12:00:00,34.0,18.9,41.0,,,230.0,3.6,,1003.6,,
2018-04-13 03:00:00,26.8,19.7,65.0,,,230.0,3.6,,1010.8,,
2018-04-13 12:00:00,34.4,16.7,35.0,,,90.0,3.6,,1004.1,,
2018-04-14 03:00:00,29.0,21.5,64.0,,,180.0,3.6,,1010.3,,
2018-04-15 03:00:00,27.2,21.9,73.0,,,50.0,3.6,,1010.8,,
2018-04-15 12:00:00,23.8,21.9,89.0,,,230.0,3.6,,1008.2,,
2018-04-16 03:00:00,25.8,21.0,75.0,,,360.0,3.6,,1012.2,,
2018-04-16 12:00:00,34.6,19.4,41.0,,,90.0,3.6,,1005.7,,
2018-04-17 03:00:00,28.6,22.4,69.0,,,200.0,3.6,,1012.0,,
2018-04-17 12:00:00,35.2,17.9,36.0,,,50.0,3.6,,1004.9,,
2018-04-18 03:00:00,30.2,19.6,53.0,,,230.0,3.6,,1010.8,,
2018-04-18 12:00:00,30.6,17.3,45.0,,,50.0,3.6,,1004.6,,
2018-04-19 03:00:00,30.5,21.9,60.0,,,50.0,3.6,,1008.4,,
2018-04-19 12:00:00,37.8,12.4,22.0,,,230.0,3.6,,1002.0,,
2018-04-20 03:00:00,29.4,11.9,34.0,,,230.0,3.6,,1008.2,,
2018-04-21 03:00:00,29.8,10.9,31.0,,,360.0,3.6,,1008.5,,
2018-04-21 12:00:00,36.8,10.2,20.0,,,50.0,3.6,,1002.7,,
2018-04-22 03:00:00,28.8,9.5,30.0,,,20.0,3.6,,1008.7,,
2018-04-22 12:00:00,38.4,13.6,23.0,,,140.0,3.6,,1002.3,,
2018-04-23 03:00:00,29.4,16.9,47.0,,,230.0,3.6,,1008.5,,
2018-04-23 12:00:00,36.6,16.2,30.0,,,140.0,3.6,,1002.9,,
2018-04-24 03:00:00,29.8,16.2,44.0,,,200.0,3.6,,1008.7,,
2018-04-24 12:00:00,37.6,13.6,24.0,,,300.0,3.6,,1002.5,,
2018-04-25 03:00:00,29.2,19.5,56.0,,,230.0,3.6,,1008.7,,
2018-04-25 12:00:00,36.8,12.3,23.0,,,300.0,3.6,,1001.9,,
2018-04-26 03:00:00,30.4,12.3,33.0,,,50.0,3.6,,1007.6,,
2018-04-26 12:00:00,34.4,18.9,40.0,,,160.0,3.6,,1002.4,,
2018-04-27 03:00:00,31.2,20.5,53.0,,,180.0,3.6,,1009.2,,
2018-04-27 12:00:00,36.4,17.1,32.0,,,140.0,3.6,,1003.8,,
2018-04-28 03:00:00,29.4,20.0,57.0,,,230.0,3.6,,1009.6,,
2018-04-28 12:00:00,36.4,18.0,34.0,,,50.0,3.6,,1004.0,,
2018-04-29 03:00:00,31.0,18.7,48.0,,,290.0,3.6,,1008.2,,
2018-04-29 12:00:00,38.4,19.8,34.0,,,320.0,3.6,,1001.5,,
2018-05-01 03:00:00,30.2,16.2,43.0,,,320.0,3.6,,1006.3,,
2018-05-02 03:00:00,30.6,12.5,33.0,,,270.0,3.6,,1007.6,,
2018-05-02 12:00:00,38.4,14.9,25.0,,,50.0,3.6,,1001.5,,
2018-05-03 12:00:00,27.2,19.5,63.0,,,140.0,3.6,,1006.2,,
2018-05-05 03:00:00,30.0,18.4,50.0,,,230.0,3.6,,1009.6,,
2018-05-05 12:00:00,38.0,14.6,25.0,,,230.0,3.6,,1003.6,,
2018-05-06 03:00:00,30.0,18.4,50.0,,,180.0,3.6,,1009.6,,
2018-05-07 12:00:00,37.0,16.0,29.0,,,290.0,3.6,,1002.5,,
2018-05-08 12:00:00,38.4,12.2,21.0,,,50.0,3.6,,1001.5,,
2018-05-09 12:00:00,30.4,17.1,45.0,,,90.0,3.6,,1004.3,,
2018-05-10 03:00:00,30.8,19.2,50.0,,,290.0,3.6,,1010.4,,
2018-05-11 03:00:00,28.6,19.5,58.0,,,230.0,3.6,,1010.1,,
2018-05-13 12:00:00,35.2,20.0,41.0,,,140.0,3.6,,1003.1,,
2018-05-14 03:00:00,29.4,20.8,60.0,,,230.0,3.6,,1008.7,,
2018-05-14 12:00:00,32.6,20.2,48.0,,,160.0,3.6,,1002.9,,
2018-05-15 03:00:00,27.4,20.7,67.0,,,250.0,3.6,,1009.8,,
2018-05-16 03:00:00,30.0,19.7,54.0,,,230.0,3.6,,1007.5,,
2018-05-16 12:00:00,35.8,22.0,45.0,,,160.0,3.6,,1001.0,,
2018-05-17 03:00:00,32.6,21.5,52.0,,,320.0,3.6,,1005.8,,
2018-05-17 12:00:00,34.0,23.4,54.0,,,140.0,3.6,,1001.3,,
2018-05-18 03:00:00,25.4,21.1,77.0,,,270.0,3.6,,1007.5,,
2018-05-19 03:00:00,30.8,22.9,63.0,,,290.0,3.6,,1005.3,,
2018-05-23 03:00:00,31.4,25.7,72.0,,,230.0,3.6,,1006.0,,
2018-05-24 03:00:00,28.4,24.8,81.0,,,270.0,3.6,,1006.0,,
2018-05-25 03:00:00,29.4,25.2,78.0,,,230.0,3.6,,1005.6,,
2018-05-27 03:00:00,28.0,20.0,62.0,,,200.0,3.6,,1005.1,,
2018-05-28 03:00:00,32.4,28.1,78.0,,,230.0,3.6,,1002.7,,
2018-05-28 12:00:00,38.0,24.0,45.0,,,230.0,3.6,,999.3,,
2018-05-29 03:00:00,30.0,22.7,65.0,,,290.0,3.6,,1002.4,,
2018-05-30 12:00:00,37.0,19.0,35.0,,,230.0,3.6,,,,
2018-06-01 03:00:00,30.4,20.6,56.0,,,270.0,3.6,,1005.3,,
2018-06-02 12:00:00,30.0,22.2,63.0,,,140.0,3.6,,1003.6,,
2018-06-03 03:00:00,28.0,21.3,67.0,,,230.0,3.6,,1006.3,,
2018-06-04 03:00:00,27.8,21.4,68.0,,,290.0,3.6,,1004.8,,
2018-06-04 12:00:00,36.2,16.9,32.0,,,360.0,3.6,,997.6,,
2018-06-05 03:00:00,27.4,21.7,71.0,,,70.0,3.6,,1005.0,,
2018-06-05 12:00:00,34.0,20.0,44.0,,,360.0,3.6,,1000.1,,
2018-06-06 12:00:00,35.0,19.4,40.0,,,230.0,3.6,,1000.0,,
2018-06-07 03:00:00,23.0,21.3,90.0,,,230.0,3.6,,1007.1,,
2018-06-07 12:00:00,29.2,22.9,69.0,,,290.0,3.6,,1001.2,,
2018-06-08 03:00:00,23.0,21.5,91.0,,,50.0,3.6,,1005.1,,
2018-06-08 12:00:00,27.8,22.7,74.0,,,230.0,3.6,,999.3,,
2018-06-10 03:00:00,23.8,22.1,90.0,,,230.0,3.6,,1002.9,,
2018-06-11 03:00:00,25.4,23.5,89.0,,,290.0,3.6,,1003.6,,
2018-06-11 12:00:00,31.6,21.8,56.0,,,290.0,3.6,,998.0,,
2018-06-13 03:00:00,26.6,22.7,79.0,,,270.0,3.6,,1004.3,,
2018-06-13 12:00:00,32.6,20.8,50.0,,,230.0,3.6,,1000.3,,
2018-06-14 12:00:00,31.4,21.3,55.0,,,270.0,3.6,,1002.3,,
2018-06-15 03:00:00,27.6,22.1,72.0,,,290.0,3.6,,1005.8,,
2018-06-15 12:00:00,32.4,20.3,49.0,,,230.0,3.6,,1001.9,,
2018-06-16 03:00:00,26.4,22.0,77.0,,,230.0,3.6,,1007.6,,
2018-06-16 12:00:00,32.4,18.2,43.0,,,270.0,3.6,,1003.5,,
2018-06-17 03:00:00,25.8,20.8,74.0,,,230.0,3.6,,1007.9,,
2018-06-18 03:00:00,26.8,20.4,68.0,,,300.0,3.6,,1006.2,,
2018-06-18 12:00:00,30.0,,,,,230.0,3.6,,1002.2,,
2018-06-19 03:00:00,26.4,21.8,76.0,,,230.0,3.6,,1005.5,,
2018-06-19 12:00:00,33.6,21.7,50.0,,,270.0,3.6,,1000.1,,
2018-06-20 03:00:00,26.2,22.5,80.0,,,230.0,3.6,,1005.3,,
2018-06-20 12:00:00,34.4,21.5,47.0,,,160.0,3.6,,,,
2018-06-21 03:00:00,27.2,21.5,71.0,,,230.0,3.6,,1004.0,,
2018-06-21 12:00:00,24.4,23.4,94.0,,,360.0,3.6,,1001.6,,
2018-06-22 03:00:00,24.4,22.5,89.0,,,340.0,3.6,,1005.8,,
2018-06-22 12:00:00,27.4,23.0,77.0,,,340.0,3.6,,1001.3,,
2018-06-23 03:00:00,24.4,22.7,90.0,,,270.0,3.6,,1005.8,,
2018-06-24 03:00:00,24.2,21.9,87.0,,,270.0,3.6,,1005.4,,
